"School","Scholarship","Gender","Course","Organisation","ScholarshipTemp","CourseTemp"
"Raffles Institution","Overseas Merit Scholarship","Male","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Hwa Chong Institution","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Others","Others","Unknown","Engineering","Others","Local Merit Scholarship (Open)","Engineering"
"Others","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Hwa Chong Institution","Others","Male","Others","Ministries","Local - Overseas Merit Scholarship (Teaching)","Mathematics"
"Hwa Chong Institution","Others","Female","Economics","Ministries","President's Scholarship","Economics"
"Victoria Junior College","Overseas Merit Scholarship","Male","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Others","Others","Unknown","Others","Others","Local - Overseas Merit Scholarship (Teaching)","Mathematics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","AGC","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Science","Others","Overseas Merit Scholarship (Teaching)","Computer Science"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Science","PMO","Overseas Merit Scholarship (Open)","Science"
"Others","Others","Male","Others","Ministries","President's Scholarship","Medicine"
"Victoria Junior College","Overseas Merit Scholarship","Female","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering and Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering and Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Others","Others","Male","Engineering","Ministries","SPF Overseas Scholarship","Engineering"
"Others","Overseas Merit Scholarship","Male","Engineering","PMO","Overseas Merit Scholarship (Open)","Engineering and Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Humanities","Ministries","Overseas Merit Scholarship (Foreign Service)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Female","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Female","Humanities","Ministries","Overseas Merit Scholarship (Foreign Service)","Humanities"
"Victoria Junior College","Overseas Merit Scholarship","Male","Science","Ministries","Overseas Merit Scholarship (Open)","Science"
"Raffles Institution","SAF's Scholarship","Male","Others","Others","SAF Overseas Scholarship","Mathematics"
"Raffles Institution","Overseas Merit Scholarship","Male","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Victoria Junior College","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Female","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Others","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Teaching)","Economics"
"Others","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Science","Ministries","Overseas Merit Scholarship (Teaching)","Science"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Others","Ministries","Overseas Merit Scholarship (Teaching)","Mathematics"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","PMO","Overseas Merit Scholarship (Open)","Economics"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Humanities","Ministries","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Hwa Chong Institution","SAF's Scholarship","Male","Economics","Ministries","SAF Overseas Scholarship","Economics"
"Victoria Junior College","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Science","Ministries","Overseas Merit Scholarship (Open)","Science"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Male","Economics","PMO","Overseas Merit Scholarship (Teaching)","Economics"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Others","Overseas Merit Scholarship","Male","Others","Ministries","Overseas Merit Scholarship (Teaching)","Mathematics"
"Victoria Junior College","Overseas Merit Scholarship","Female","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Anglo Chinese School (Independent)","Others","Male","Science","Ministries","SPF Overseas Scholarship","Science"
"Raffles Institution","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Raffles Institution","Others","Male","Economics","Ministries","President's Scholarship","Economics"
"Raffles Institution","Others","Male","Humanities","Ministries","President's Scholarship","Humanities"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Others","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","Others","Male","Economics","Ministries","President's Scholarship","Economics"
"Hwa Chong Institution","Others","Female","Humanities","Ministries","President's Scholarship","Humanities"
"Raffles Institution","SAF's Scholarship","Male","Economics","Ministries","SAF Overseas Scholarship","Economics"
"Anglo Chinese School (Independent)","Others","Male","Others","Others","Local - Overseas Merit Scholarship (Open)","Law"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Teaching)","Economics"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Victoria Junior College","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Anglo Chinese School (Independent)","Others","Female","Science","Others","Local - Overseas Merit Scholarship (Teaching)","Science"
"Others","SAF's Scholarship","Male","Engineering","Ministries","SAF Overseas Scholarship","Engineering"
"Others","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Others","Others","Male","Engineering","Ministries","President's Scholarship","Engineering"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Foreign Service)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","SAF's Scholarship","Male","Engineering","Ministries","SAF Overseas Scholarship","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Female","Humanities","Ministries","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Female","Others","Ministries","Overseas Merit Scholarship (Teaching)","Mathematics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Humanities","PMO","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","Others","Male","Science","Ministries","SPF Overseas Scholarship","Science"
"Raffles Institution","Overseas Merit Scholarship","Male","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Male","Humanities","Ministries","Overseas Merit Scholarship (Teaching)","Humanities"
"Others","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Others","Others","Male","Economics","Others","President's Scholarship","Economics"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Economics","Ministries","Overseas Merit Scholarship (Teaching)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Engineering","Ministries","Overseas Merit Scholarship (Foreign Service)","Engineering and Economics"
"Others","Overseas Merit Scholarship","Male","Humanities","Ministries","Overseas Merit Scholarship (Teaching)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Others","SAF's Scholarship","Male","Engineering","Ministries","SAF Overseas Scholarship","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Female","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Foreign Service)","Economics"
"Others","SAF's Scholarship","Male","Engineering","Ministries","SAF Overseas Scholarship","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Male","Economics","PMO","Overseas Merit Scholarship (Teaching)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","AGC","Overseas Merit Scholarship (Legal Service)","Economics"
"Others","Others","Male","Economics","Ministries","SPF Overseas Scholarship","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Foreign Service)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Teaching)","Economics"
"Others","Overseas Merit Scholarship","Female","Humanities","PMO","Overseas Merit Scholarship (Open)","Humanities"
"Others","Overseas Merit Scholarship","Female","Humanities","Ministries","Overseas Merit Scholarship (Teaching)","Humanities"
"Hwa Chong Institution","SAF's Scholarship","Male","Humanities","Ministries","SAF Overseas Scholarship","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Foreign Service)","Economics"
"Anglo Chinese School (Independent)","SAF's Scholarship","Male","Economics","Ministries","SAF Overseas Scholarship","Economics"
"Others","Overseas Merit Scholarship","Female","Humanities","Ministries","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","SAF's Scholarship","Male","Economics","Ministries","SAF Overseas Scholarship","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Science","Ministries","Overseas Merit Scholarship (Open)","Science"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Humanities","Ministries","Overseas Merit Scholarship (Foreign Service)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Male","Humanities","Ministries","Overseas Merit Scholarship (Teaching)","Humanities"
"Raffles Institution","Others","Female","Others","Others","President's Scholarship","Medicine"
"Raffles Institution","SAF's Scholarship","Male","Engineering","Ministries","SAF Overseas Scholarship","Engineering"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","Others","Female","Economics","Ministries","President's Scholarship","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Science","Ministries","Overseas Merit Scholarship (Open)","Science"
"Hwa Chong Institution","Others","Male","Economics","Ministries","President's Scholarship","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","PMO","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Science","Ministries","Overseas Merit Scholarship (Open)","Science"
"Raffles Institution","SAF's Scholarship","Male","Economics","Ministries","SAF Overseas Scholarship","Economics"
"Others","Overseas Merit Scholarship","Female","Science","Ministries","Overseas Merit Scholarship (Open)","Science"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Others","Male","Engineering","Ministries","SPF Overseas Scholarship","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Male","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Victoria Junior College","Others","Female","Economics","Others","Local - Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Others","Others","Overseas Merit Scholarship (Open)","Mathematics"
"Hwa Chong Institution","Others","Male","Economics","Ministries","SPF Overseas Scholarship","Economics"
"Others","Others","Female","Science","Ministries","President's Scholarship","Science"
"Others","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Humanities","Ministries","Overseas Merit Scholarship (Teaching)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","SAF's Scholarship","Male","Engineering","Ministries","SAF Overseas Scholarship","Engineering"
"Raffles Institution","Others","Male","Engineering","Ministries","President's Scholarship","Engineering"
"Raffles Institution","Others","Female","Others","Others","Local Merit Scholarship (Open)","Medicine"
"Victoria Junior College","Overseas Merit Scholarship","Unknown","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Others","Others","Unknown","Others","Others","Local Merit Scholarship (Open)","Medicine"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Female","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering and Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Unknown","Economics","Others","Overseas Merit Scholarship French Government Scholarship (Open)","Economics"
"Others","SAF's Scholarship","Unknown","Engineering","Others","SAF Overseas Scholarship","Engineering"
"Victoria Junior College","Overseas Merit Scholarship","Female","Science","Ministries","Overseas Merit Scholarship (Teaching)","Science"
"Victoria Junior College","Overseas Merit Scholarship","Female","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Victoria Junior College","Overseas Merit Scholarship","Unknown","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Victoria Junior College","Overseas Merit Scholarship","Unknown","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Others","Others","Female","Others","Others","President's Scholarship","Medicine"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Others","AGC","Overseas Merit Scholarship (Open)","Law"
"Victoria Junior College","Others","Female","Others","AGC","Local - Overseas Merit Scholarship (Open)","Law"
"Raffles Institution","Overseas Merit Scholarship","Unknown","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Others","Others","Overseas Merit Scholarship (Open)","Mathematics"
"Raffles Institution","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Open)","Humanities"
"Hwa Chong Institution","SAF's Scholarship","Unknown","Engineering","Others","SAF Overseas Scholarship","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Female","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Anglo Chinese School (Independent)","Others","Unknown","Science","Others","Local - Overseas Merit Scholarship (Teaching)","Science"
"Raffles Institution","Others","Male","Humanities","Others","President's Scholarship","Humanities"
"Raffles Institution","Others","Female","Others","Others","Local Merit Scholarship (Open) - Medicine","Medicine"
"Raffles Institution","Overseas Merit Scholarship","Female","Engineering","Others","Overseas Merit Scholarship (Open)","Engineering and Economics"
"Hwa Chong Institution","SG Government Scholarship","Male","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Hwa Chong Institution","SG Government Scholarship","Male","Engineering","PMO","Singapore Government Scholarship (Open)","Engineering"
"Hwa Chong Institution","SG Government Scholarship","Male","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Hwa Chong Institution","SG Government Scholarship","Female","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Raffles Institution","SG Government Scholarship","Male","Engineering","Ministries","Singapore Government Scholarship (Open)","Engineering"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Hwa Chong Institution","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Others","Others","Male","Engineering","Ministries","SPF Overseas Scholarship","Engineering"
"Raffles Institution","Others","Female","Others","Others","Local Merit Scholarship (Open) - Medicine","Medicine"
"Others","Overseas Merit Scholarship","Female","Humanities","Ministries","Overseas Merit Scholarship (Open)","Humanities"
"Anglo Chinese School (Independent)","SG Government Scholarship","Male","Science","Others","Singapore Government Scholarship (Open)","Science"
"Raffles Institution","SAF's Scholarship","Male","Engineering","Others","SAF Overseas Scholarship","Engineering"
"Others","SG Government Scholarship","Male","Science","Others","Singapore Government Scholarship (Open)","Computer Science"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Humanities","Ministries","Overseas Merit Scholarship (Foreign Service)","Humanities"
"Hwa Chong Institution","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Others","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Teaching)","Humanities"
"Raffles Institution","SAF's Scholarship","Male","Engineering","Others","SAF Overseas Scholarship","Engineering"
"Raffles Institution","Others","Male","Humanities","Ministries","SPF Overseas Scholarship","Humanities"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Others","SG Government Scholarship","Female","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Female","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Humanities","Ministries","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","SG Government Scholarship","Female","Others","Ministries","Singapore Government Scholarship (Open)","Mathematics"
"Others","Others","Female","Others","Others","Local Merit Scholarship (Open) - Medicine","Medicine"
"Victoria Junior College","SG Government Scholarship","Female","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Others","Ministries","Overseas Merit Scholarship (Open)","Mathematics"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Male","Economics","Ministries","Singapore Government Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Male","Engineering","Ministries","Overseas Merit Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Victoria Junior College","SG Government Scholarship","Female","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Male","Engineering","PMO","Overseas Merit Scholarship (Open)","Engineering"
"Victoria Junior College","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Foreign Service)","Humanities"
"Raffles Institution","Overseas Merit Scholarship","Male","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","SG Government Scholarship","Female","Economics","Ministries","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Male","Others","PMO","Singapore Government Scholarship (Open)","Mathematics"
"Raffles Institution","SAF's Scholarship","Male","Humanities","Others","SAF Overseas Scholarship","Humanities"
"Raffles Institution","Others","Female","Others","Others","Local Merit Scholarship (Open) - Medicine","Medicine"
"Others","SG Government Scholarship","Female","Science","Others","Singapore Government Scholarship (Open)","Science"
"Hwa Chong Institution","Others","Male","Economics","Ministries","SPF Overseas Scholarship","Economics"
"Hwa Chong Institution","Others","Female","Economics","Others","Local - Overseas Merit Scholarship (Teaching)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","SG Government Scholarship","Male","Science","Others","Singapore Government Scholarship (Open)","Computer Science"
"Raffles Institution","Overseas Merit Scholarship","Male","Others","Ministries","Overseas Merit Scholarship (Specialist)","Mathematics"
"Raffles Institution","SAF's Scholarship","Male","Humanities","Others","SAF Overseas Scholarship","Humanities"
"Hwa Chong Institution","SG Government Scholarship","Unknown","Science","Ministries","Singapore Government Scholarship (Open)","Science"
"Hwa Chong Institution","SG Government Scholarship","Female","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Others","SG Government Scholarship","Male","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Raffles Institution","SG Government Scholarship","Male","Science","Others","Singapore Government Scholarship (Open)","Science"
"Raffles Institution","Others","Male","Humanities","Ministries","President's Scholarship","Humanities"
"Raffles Institution","Others","Female","Economics","Ministries","President's Scholarship","Economics"
"Raffles Institution","Others","Female","Others","Others","President's Scholarship","Medicine"
"Hwa Chong Institution","Others","Female","Others","Others","President's Scholarship","Medicine"
"Others","Overseas Merit Scholarship","Female","Economics","Others","Local-Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Teaching)","Economics"
"Raffles Institution","SAF's Scholarship","Male","Science","Others","SAF Overseas Scholarship","Science"
"Raffles Institution","Overseas Merit Scholarship","Male","Economics","PMO","Overseas Merit Scholarship (Open)","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Humanities","PMO","Overseas Merit Scholarship (Open)","Humanities"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Others","AGC","Local-Overseas Merit Scholarship (Open)","Law"
"Hwa Chong Institution","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Science","Others","Overseas Merit Scholarship (Open)","Science"
"Others","SG Government Scholarship","Female","Others","AGC","Singapore Government Scholarship (Open)","Law"
"Victoria Junior College","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Victoria Junior College","SG Government Scholarship","Male","Engineering","Ministries","Singapore Government Scholarship (Open)","Engineering"
"Raffles Institution","SG Government Scholarship","Male","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Raffles Institution","Overseas Merit Scholarship","Female","Humanities","Others","Overseas Merit Scholarship (Teaching)","Humanities"
"Hwa Chong Institution","SG Government Scholarship","Male","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Anglo Chinese School (Independent)","SG Government Scholarship","Male","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Others","SG Government Scholarship","Male","Humanities","Others","Singapore Government Scholarship (Open)","Humanities"
"Hwa Chong Institution","SG Government Scholarship","Female","Economics","PMO","Singapore Government Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Female","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Others","Overseas Merit Scholarship","Female","Science","Others","Local-Overseas Merit Scholarship (Open)","Science"
"Hwa Chong Institution","SG Government Scholarship","Male","Humanities","Ministries","Singapore Government Scholarship (Open)","Humanities"
"Others","SG Government Scholarship","Female","Humanities","Ministries","Singapore Government Scholarship (Open)","Humanities"
"Hwa Chong Institution","SAF's Scholarship","Male","Economics","Others","SAF Overseas Scholarship","Economics"
"Raffles Institution","SG Government Scholarship","Male","Others","Others","Singapore Government Scholarship (Open)","Mathematics"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Raffles Institution","Overseas Merit Scholarship","Male","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Others","SG Government Scholarship","Male","Others","Ministries","Singapore Government Scholarship (Open)","Business"
"Hwa Chong Institution","SG Government Scholarship","Male","Science","Others","Singapore Government Scholarship (Open)","Science"
"Raffles Institution","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","SAF's Scholarship","Male","Humanities","Others","SAF Overseas Scholarship","Humanities"
"Anglo Chinese School (Independent)","Overseas Merit Scholarship","Male","Economics","Ministries","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Female","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","SG Government Scholarship","Male","Humanities","Ministries","Singapore Government Scholarship (Open)","Humanities"
"Hwa Chong Institution","Overseas Merit Scholarship","Male","Economics","Others","Overseas Merit Scholarship (Open)","Economics"
"Raffles Institution","Others","Female","Others","Others","Local Merit Scholarship (Open)","Medicine"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Science","Ministries","Overseas Merit Scholarship (Open)","Science"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Others","Others","Overseas Merit Scholarship (Legal Service)","Law"
"Raffles Institution","Overseas Merit Scholarship","Male","Others","PMO","Overseas Merit Scholarship (Specialist)","Mathematics"
"Victoria Junior College","SG Government Scholarship","Male","Economics","AGC","Singapore Government Scholarship (Open)","Economics"
"Raffles Institution","Overseas Merit Scholarship","Male","Humanities","Ministries","Overseas Merit Scholarship (Open)","Humanities"
"Raffles Institution","SG Government Scholarship","Female","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Others","Overseas Merit Scholarship","Female","Others","AGC","Overseas Merit Scholarship (Legal Service)","Law"
"Hwa Chong Institution","Overseas Merit Scholarship","Female","Science","Others","Overseas Merit Scholarship (Teaching)","Science"
"Others","SG Government Scholarship","Male","Engineering","Others","Singapore Government Scholarship (Open)","Engineering"
"Others","SG Government Scholarship","Male","Economics","Others","Singapore Government Scholarship (Open)","Economics"
